iter	Passed	Remaining
665	6398	3208
666	6407	3199
667	6417	3189
668	6426	3179
669	6435	3169
670	6445	3160
671	6455	3150
672	6464	3140
673	6473	3131
674	6482	3121
675	6492	3111
676	6502	3102
677	6511	3092
678	6520	3082
679	6530	3073
680	6538	3063
681	6548	3053
682	6558	3044
683	6568	3034
684	6579	3025
685	6589	3016
686	6598	3006
687	6608	2996
688	6617	2986
689	6626	2977
690	6635	2967
691	6645	2957
692	6654	2948
693	6664	2938
694	6673	2928
695	6682	2918
696	6692	2909
697	6700	2899
698	6709	2889
699	6718	2879
700	6728	2869
701	6737	2859
702	6747	2850
703	6756	2840
704	6766	2831
705	6776	2821
706	6784	2811
707	6794	2802
708	6803	2792
709	6813	2782
710	6822	2773
711	6831	2763
712	6841	2753
713	6851	2744
714	6860	2734
715	6869	2724
716	6879	2715
717	6888	2705
718	6898	2695
719	6907	2686
720	6916	2676
721	6925	2666
722	6935	2657
723	6944	2647
724	6953	2637
725	6964	2628
726	6974	2618
727	6983	2609
728	6992	2599
729	7002	2589
730	7011	2580
731	7021	2570
732	7030	2560
733	7040	2551
734	7049	2541
735	7058	2531
736	7067	2522
737	7076	2512
738	7086	2502
739	7094	2492
740	7104	2483
741	7112	2473
742	7121	2463
743	7131	2453
744	7140	2443
745	7149	2434
746	7158	2424
747	7168	2414
748	7178	2405
749	7188	2396
750	7198	2386
751	7207	2377
752	7216	2367
753	7225	2357
754	7235	2347
755	7245	2338
756	7253	2328
757	7262	2318
758	7271	2308
759	7280	2299
760	7289	2289
761	7299	2279
762	7309	2270
763	7319	2260
764	7328	2251
765	7337	2241
766	7346	2231
767	7356	2222
768	7367	2212
769	7377	2203
770	7388	2194
771	7397	2184
772	7407	2175
773	7416	2165
774	7425	2155
775	7435	2146
776	7444	2136
777	7453	2126
778	7463	2117
779	7471	2107
780	7477	2096
781	7487	2087
782	7497	2077
783	7506	2068
784	7515	2058
785	7525	2048
786	7534	2039
787	7543	2029
788	7552	2019
789	7562	2010
790	7571	2000
791	7592	1994
792	7604	1984
793	7614	1975
794	7624	1966
795	7634	1956
796	7644	1947
797	7654	1937
798	7663	1927
799	7673	1918
800	7682	1908
801	7692	1899
802	7701	1889
803	7710	1879
804	7719	1870
